,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
19.08.05,75.098,73.76,83.048,78.044,77.104,78.062,76.284,76.291,75.07,73.416,72.815,71.994,65.842,73.251,78.18,73.696,73.516,72.2,70.229,74.464,73.372,73.941,76.371,78.102,76.814,73.557,77.483,69.765
19.08.12,75.111,73.828,83.048,78.044,77.14,78.114,76.412,76.345,75.139,73.481,72.846,72.009,65.904,73.325,78.336,73.758,73.581,72.2,70.275,74.549,73.531,73.973,76.386,78.238,76.856,73.633,77.658,69.794
19.08.19,75.116,73.904,83.048,78.044,77.152,78.172,76.501,76.492,75.271,73.556,72.87,72.087,65.969,73.392,78.41,73.892,73.697,72.2,70.311,74.634,73.717,73.973,76.4,78.341,76.924,73.695,77.809,69.823
19.08.26,75.119,73.985,83.1,78.051,77.227,78.289,76.586,76.508,75.492,73.612,72.927,72.179,66.032,73.475,78.476,73.979,73.757,72.214,70.362,74.714,73.8,73.993,76.418,78.438,77.108,73.794,77.93,69.851
19.09.02,75.128,74.083,83.147,78.051,77.269,78.398,76.717,76.699,75.535,73.699,72.946,72.203,66.062,73.575,78.695,74.157,73.802,72.293,70.465,74.848,73.921,74.03,76.493,78.549,77.289,73.933,78.064,69.886
19.09.16,75.132,74.158,83.294,78.099,77.3,78.463,76.845,76.768,75.665,73.737,73,72.203,66.076,73.72,78.787,74.252,73.853,72.334,70.539,74.887,74.087,74.137,76.591,78.594,77.4,74.073,78.141,69.907
19.09.23,75.145,74.268,83.505,78.101,77.415,78.563,77.118,76.779,75.735,73.841,73.02,72.2,66.093,73.854,78.807,74.315,74.036,72.354,70.581,75.092,74.287,74.206,76.676,78.643,77.689,74.351,78.291,69.937
19.09.30,75.167,74.38,83.505,78.255,77.467,78.693,77.183,76.882,75.815,73.904,73.033,72.211,66.117,73.931,78.991,74.48,74.299,72.36,70.658,75.21,74.459,74.316,76.807,78.736,77.916,74.565,78.433,69.98
19.10.07,75.193,74.479,83.646,78.259,77.534,78.715,77.322,77.014,75.931,74.035,73.069,72.215,66.128,74.064,79.014,74.659,74.49,72.366,70.77,75.429,74.67,74.368,76.872,78.823,78.055,74.763,78.499,70.026
19.10.14,75.216,74.587,83.69,78.293,77.673,78.779,77.509,77.06,75.977,74.147,73.079,72.239,66.156,74.067,79.078,74.727,74.751,72.412,70.844,75.635,74.813,74.455,76.927,78.922,78.332,74.933,78.734,70.072
19.10.21,75.241,74.699,83.714,78.407,77.753,78.857,77.737,77.129,76.049,74.289,73.099,72.295,66.204,74.215,79.322,74.806,74.928,72.466,70.908,75.855,75.005,74.5,76.967,79.068,78.482,75.107,78.882,70.12
19.10.28,75.262,74.807,83.975,78.597,77.905,78.907,77.958,77.149,76.182,74.381,73.115,72.31,66.24,74.384,79.396,74.838,75.08,72.517,70.944,75.937,75.312,74.555,77.022,79.118,78.691,75.383,78.966,70.161
19.11.04,75.291,74.909,84.024,78.822,78.007,78.994,78.12,77.251,76.219,74.488,73.123,72.338,66.264,74.493,79.479,74.851,75.219,72.582,71.064,76.023,75.488,74.615,77.138,79.206,78.915,75.549,79.096,70.211
19.11.11,75.326,75.007,84.113,78.834,78.164,79.072,78.295,77.273,76.334,74.579,73.173,72.357,66.299,74.563,79.542,74.916,75.408,72.618,71.261,76.092,75.606,74.658,77.238,79.308,79.045,75.749,79.226,70.263
19.11.18,75.38,75.154,84.113,78.87,78.301,79.122,78.415,77.324,76.454,74.678,73.19,72.392,66.358,74.729,79.563,74.964,75.599,72.792,71.419,76.211,75.779,74.745,77.31,79.434,79.458,76.161,79.324,70.34
19.11.25,75.436,75.289,84.326,79.029,78.346,79.205,78.698,77.373,76.553,74.808,73.24,72.433,66.419,74.889,79.612,75.125,75.829,72.913,71.567,76.461,75.931,74.825,77.359,79.528,79.727,76.423,79.446,70.408
19.12.02,75.505,75.475,84.397,79.186,78.475,79.282,78.944,77.426,76.628,74.92,73.284,72.476,66.44,74.993,79.792,75.319,76.238,73.107,71.729,76.725,76.232,74.926,77.513,79.662,80.379,76.681,79.549,70.497
19.12.09,75.581,75.659,84.398,79.42,78.798,79.389,79.182,77.462,76.766,74.987,73.345,72.523,66.488,75.067,80.12,75.519,76.405,73.251,72.007,76.905,76.612,75.205,77.728,79.808,80.72,76.999,79.7,70.602
19.12.16,75.651,75.81,84.525,79.545,79.185,79.544,79.306,77.512,76.843,75.088,73.389,72.548,66.545,75.251,80.261,75.672,76.526,73.358,72.314,77.056,76.874,75.391,77.948,79.929,80.961,77.226,79.811,70.689
19.12.23,75.731,75.955,84.665,79.704,79.354,79.592,79.322,77.598,76.968,75.212,73.425,72.602,66.63,75.308,80.536,75.926,76.876,73.447,72.498,77.326,77.09,75.563,78.217,80.081,81.144,77.358,79.848,70.787
19.12.30,75.797,76.087,84.763,79.8,79.464,79.697,79.518,77.678,77.007,75.383,73.467,72.646,66.67,75.345,80.633,76.312,77.327,73.549,72.619,77.474,77.26,75.669,78.23,80.169,81.389,77.484,79.908,70.869
20.01.06,75.858,76.197,84.792,79.919,79.604,79.736,79.666,77.704,77.022,75.5,73.536,72.668,66.715,75.44,80.73,76.622,77.547,73.831,72.755,77.651,77.408,75.806,78.341,80.276,81.482,77.549,79.944,70.954
20.01.13,75.937,76.315,84.882,80.074,79.759,79.819,79.83,77.744,77.045,75.595,73.619,72.705,66.825,75.5,80.769,76.776,77.765,74.06,72.922,77.845,77.519,76.042,78.547,80.35,81.606,77.622,79.986,71.053
20.01.20,76.023,76.433,84.953,80.326,79.815,79.876,79.968,77.933,77.098,75.67,73.734,72.726,66.902,75.91,81.017,76.809,77.984,74.164,72.979,78.034,77.811,76.253,78.729,80.447,81.715,77.652,80.063,71.176
20.02.03,76.154,76.604,85.001,80.471,79.958,79.943,80.185,78.037,77.162,75.892,73.847,72.792,67.148,75.982,81.092,76.839,78.389,74.391,73.162,78.479,78.075,76.48,79.091,80.545,81.799,77.786,80.136,71.369
20.02.10,76.283,76.708,85.054,80.614,80.116,80.028,80.35,78.063,77.221,76.015,73.884,72.839,67.244,76.061,81.128,76.858,78.601,74.598,73.369,78.658,78.178,76.679,79.215,80.639,81.844,77.858,80.187,71.559
20.02.17,76.404,76.834,85.091,80.769,80.207,80.106,80.715,78.187,77.271,76.133,73.946,72.861,67.345,76.128,81.285,77.1,79.039,74.674,73.574,78.858,78.253,76.874,79.347,80.662,81.903,77.964,80.31,71.738
20.02.24,76.522,76.96,85.099,80.812,80.246,80.195,80.93,78.264,77.309,76.394,74.084,72.877,67.427,76.214,81.304,77.387,79.286,74.798,73.868,79.152,78.379,77.008,79.582,80.682,81.947,78.113,80.373,71.915
20.03.02,76.617,77.069,85.136,80.889,80.338,80.275,81.277,78.408,77.347,76.542,74.131,72.889,67.519,76.255,81.481,77.575,79.525,74.939,74.023,79.477,78.411,77.146,79.719,80.742,81.965,78.244,80.398,72.07
20.03.09,76.738,77.179,85.143,81.021,80.388,80.354,81.528,78.6,77.376,76.664,74.224,72.949,67.643,76.31,81.563,77.668,79.72,74.975,74.233,79.905,78.508,77.268,79.904,80.76,81.996,78.395,80.459,72.252
20.03.16,76.841,77.269,85.204,81.04,80.453,80.449,81.63,78.709,77.487,76.77,74.245,72.981,67.783,76.374,81.629,77.715,79.94,75.015,74.399,80.289,78.536,77.358,80.127,80.758,82.003,78.474,80.521,72.406
20.03.23,76.919,77.313,85.207,81.059,80.473,80.497,81.813,78.746,77.546,76.852,74.273,73.021,67.857,76.472,81.647,77.787,80.118,75.08,74.446,80.448,78.598,77.421,80.201,80.723,81.89,78.451,80.543,72.524
20.03.30,76.968,77.346,85.207,81.066,80.485,80.506,81.904,78.816,77.565,76.878,74.299,73.048,67.936,76.59,81.729,77.818,80.247,75.08,74.51,80.448,78.698,77.443,80.243,80.643,81.875,78.425,80.567,72.6
20.04.06,77.009,77.372,85.207,81.073,80.485,80.506,81.991,78.846,77.565,76.907,74.331,73.07,68.028,76.654,81.778,77.85,80.278,75.08,74.621,80.48,78.727,77.459,80.342,80.607,81.84,78.385,80.589,72.663
20.04.13,77.033,77.388,85.251,81.095,80.503,80.519,82.042,78.878,77.574,76.949,74.388,73.078,68.067,76.693,81.837,77.862,80.274,75.082,74.66,80.546,78.741,77.479,80.366,80.551,81.826,78.38,80.611,72.703
20.04.20,77.065,77.389,85.305,81.095,80.503,80.532,82.093,78.895,77.624,76.967,74.398,73.093,68.091,76.706,81.858,77.872,80.244,75.099,74.733,80.585,78.722,77.493,80.384,80.513,81.734,78.339,80.592,72.751
20.05.04,77.091,77.387,85.364,81.095,80.503,80.533,82.118,78.899,77.636,76.967,74.398,73.114,68.103,76.721,81.902,77.883,80.235,75.117,74.735,80.585,78.74,77.501,80.418,80.484,81.65,78.295,80.591,72.791
